Date;Time;Operation Mode;System Status;Flow [m³/h] W1-BF1;Flow [m³/h] W3-BF1 OR HW VFD Speed [Hz];Inlet Pressure [Bar];Outlet Pressure [Bar];Diff. Pressure [Bar];Uv Unit Temperature [°C];Uv-I Sensor [W/m²];Total Lamp Pwr [kW];Calculated [m³];ByPass;Alarm;Flow Limit;Allowed Flow [m³];FullTime
25-02-2023;00:00:00;Ballast;Running Ballast;286;0;3,87;3,78;0,08;3,6;571;72,001;284,6;System In Line;System Ok;500;306,875;25-02-2023 00:00
25-02-2023;00:00:05;Ballast;Running Ballast;282;0;3,85;3,78;0,08;3,6;570;71,996;285;System In Line;System Ok;500;306,875;25-02-2023 00:00
25-02-2023;00:00:11;Ballast;Running Ballast;289;0;3,84;3,77;0,08;3,5;570;72,005;285,5;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:00:16;Ballast;Running Ballast;288;0;3,84;3,76;0,08;3,5;570;71,99;285,9;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:00:22;Ballast;Running Ballast;310;0;3,78;3,7;0,08;3,5;570;72,011;286,4;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:00:27;Ballast;Running Ballast;309;0;3,79;3,7;0,08;3,4;570;71,998;286,8;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:00:33;Ballast;Running Ballast;306;0;3,8;3,7;0,09;3,4;570;71,996;287,4;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:00:38;Ballast;Running Ballast;306;0;3,79;3,7;0,09;3,3;570;71,997;287,8;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:00:44;Ballast;Running Ballast;306;0;3,79;3,71;0,09;3,3;570;72,001;288,3;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:00:49;Ballast;Running Ballast;308;0;3,8;3,7;0,09;3,3;570;71,998;288,7;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:00:55;Ballast;Running Ballast;307;0;3,8;3,71;0,09;3,2;570;72,002;289,2;System In Line;System Ok;500;306,25;25-02-2023 00:00
25-02-2023;00:01:00;Ballast;Running Ballast;308;0;3,81;3,71;0,09;3,2;570;71,999;289,7;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:06;Ballast;Running Ballast;307;0;3,79;3,7;0,1;3,2;570;71,998;290,2;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:11;Ballast;Running Ballast;308;0;3,79;3,7;0,1;3,1;570;71,998;290,6;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:17;Ballast;Running Ballast;308;0;3,8;3,7;0,09;3,1;570;71,998;291,1;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:22;Ballast;Running Ballast;307;0;3,78;3,7;0,09;3,1;570;72,005;291,5;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:28;Ballast;Running Ballast;307;0;3,79;3,69;0,09;3;570;72,012;292;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:33;Ballast;Running Ballast;307;0;3,8;3,7;0,09;3;570;71,997;292,5;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:39;Ballast;Running Ballast;307;0;3,8;3,69;0,1;3;570;72,003;293;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:44;Ballast;Running Ballast;307;0;3,8;3,69;0,1;3;570;72,008;293,4;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:50;Ballast;Running Ballast;306;0;3,8;3,7;0,1;2,9;570;71,999;293,9;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:01:55;Ballast;Running Ballast;306;0;3,81;3,71;0,1;2,9;570;72,002;294,3;System In Line;System Ok;500;306,25;25-02-2023 00:01
25-02-2023;00:02:01;Ballast;Running Ballast;308;0;3,79;3,7;0,1;2,9;570;72;294,9;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:06;Ballast;Running Ballast;307;0;3,8;3,7;0,1;2,9;570;72,012;295,3;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:12;Ballast;Running Ballast;306;0;3,8;3,69;0,1;2,9;570;71,999;295,8;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:17;Ballast;Running Ballast;306;0;3,78;3,68;0,11;2,8;570;71,995;296,2;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:23;Ballast;Running Ballast;307;0;3,79;3,69;0,1;2,8;570;72,004;296,7;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:28;Ballast;Running Ballast;306;0;3,79;3,69;0,1;2,8;570;72,003;297,2;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:34;Ballast;Running Ballast;305;0;3,79;3,68;0,11;2,8;570;72,003;297,7;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:39;Ballast;Running Ballast;306;0;3,78;3,68;0,11;2,8;570;72,005;298,1;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:45;Ballast;Running Ballast;305;0;3,79;3,69;0,1;2,8;570;71,995;298,6;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:50;Ballast;Running Ballast;305;0;3,79;3,67;0,11;2,7;570;72,006;299;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:02:56;Ballast;Running Ballast;305;0;3,79;3,68;0,11;2,7;570;71,996;299,5;System In Line;System Ok;500;306,25;25-02-2023 00:02
25-02-2023;00:03:01;Ballast;Running Ballast;305;0;3,78;3,68;0,11;2,7;569;71,998;300;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:07;Ballast;Running Ballast;305;0;3,79;3,68;0,11;2,7;570;71,996;300,5;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:12;Ballast;Running Ballast;305;0;3,78;3,68;0,1;2,7;570;71,993;300,9;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:18;Ballast;Running Ballast;305;0;3,8;3,69;0,11;2,7;570;71,993;301,4;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:23;Ballast;Running Ballast;305;0;3,79;3,68;0,11;2,7;570;72,01;301,8;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:29;Ballast;Running Ballast;305;0;3,8;3,68;0,12;2,7;570;71,998;302,3;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:34;Ballast;Running Ballast;306;0;3,79;3,67;0,12;2,6;570;71,997;302,8;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:40;Ballast;Running Ballast;305;0;3,8;3,68;0,12;2,6;570;72;303,3;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:45;Ballast;Running Ballast;306;0;3,79;3,67;0,12;2,6;570;72,003;303,7;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:51;Ballast;Running Ballast;305;0;3,8;3,68;0,12;2,6;570;71,989;304,2;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:03:56;Ballast;Running Ballast;305;0;3,8;3,68;0,12;2,6;570;71,998;304,6;System In Line;System Ok;500;306,25;25-02-2023 00:03
25-02-2023;00:04:02;Ballast;Running Ballast;304;0;3,8;3,68;0,12;2,6;570;71,996;305,1;System In Line;System Ok;500;306,25;25-02-2023 00:04
25-02-2023;00:04:07;Ballast;Running Ballast;304;0;3,8;3,67;0,12;2,6;570;72,004;305,5;System In Line;System Ok;500;306,25;25-02-2023 00:04
25-02-2023;00:04:13;Ballast;Running Ballast;304;0;3,79;3,67;0,12;2,6;570;72,008;306,1;System In Line;System Ok;500;306,25;25-02-2023 00:04
25-02-2023;00:04:18;Ballast;Running Ballast;305;0;3,79;3,67;0,12;2,6;570;72,002;306,5;System In Line;System Ok;500;306,25;25-02-2023 00:04
25-02-2023;00:04:24;Ballast;Running Ballast;303;0;3,8;3,67;0,13;2,6;570;72,003;307;System In Line;System Ok;500;306,25;25-02-2023 00:04
25-02-2023;00:04:29;Ballast;Running Ballast;305;0;3,79;3,67;0,12;2,5;570;71,993;307,4;System In Line;System Ok;500;306,25;25-02-2023 00:04
